Scientific name,Common name,TP50,TP25,TP75
Merluccius angustimanus,Panama hake,24,22,26
Merluccius australis,Southern hake,11,9,13
Merluccius bilinearis,Silver hake,7,5,10
Merluccius capensis,Shallow-water Cape hake,17,17,18
Merluccius gayi gayi,South Pacific hake,14,13,15
Merluccius hubbsi,Argentine hake,14,10,19
Merluccius merluccius,European hake,18,15,20
Merluccius polli,Benguela hake,26,25,27
Merluccius productus,North Pacific hake,15,13,18
Merluccius senegalensis,Senegalese hake,21,20,22
Mesodesma donacium,Macha clam,17,15,19
Metanephrops andamanicus,Andaman lobster,28,28,28
Metanephrops challengeri,New Zealand lobster,14,13,16
Metanephrops mozambicus,Mozambique lobster,26,25,27
Metapenaeus endeavouri,Endeavour shrimp,27,26,28
Metapenaeus joyneri,Shiba shrimp,26,24,28
Metapenaeus monoceros,Speckled shrimp,27,26,29
Meuschenia scaber,Velvet leatherjacket,15,15,17
Microchirus variegatus,Thickback sole,17,10,22
Microcosmus sulcatus,Grooved sea squirt,18,17,19
Microgadus proximus,Pacific tomcod,7,4,10
Microgadus tomcod,Atlantic tomcod,9,6,11
Micromesistius australis,Southern blue whiting,9,7,11
Micromesistius poutassou,Blue whiting,15,10,19
Micropogonias furnieri,Whitemouth croaker,24,21,26
Micropogonias undulatus,Atlantic croaker,26,25,27
Microstomus kitt,Lemon sole,6,3,10
Microstomus pacificus,Dover sole,11,6,16
Miichthys miiuy,Mi-iuy croaker,23,22,24
Mobula mobular,Devil fish,19,15,23
Mola mola,Ocean sunfish,26,23,27
Molva dypterygia,Blue ling,11,5,17
Molva molva,Ling,14,10,17
Monotaxis grandoculis,Humpnose big-eye bream,28,27,28
Mora moro,Common mora,23,19,26
Morone americana,White perch,15,10,21
Morone saxatilis,Striped sea-bass,21,16,25
Mugil cephalus,Flathead mullet,27,25,28
Mugil liza,Liza,26,24,28
Mugil soiuy,So-iuy mullet,11,7,13
Mulloidichthys flavolineatus,Yellowstripe goatfish,27,26,29
Mullus argentinae,Argentine goatfish,20,17,23
Mullus barbatus,Red mullet,17,12,22
Mullus surmuletus,Striped red mullet,19,13,23
Muraena helena,Mediterranean moray,20,14,24
Muraenesox cinereus,Daggertooth pike conger,28,27,28
Muraenolepis microps,Smalleye moray cod,-1,-2,-1
Mustelus asterias,Starry smooth-hound,10,6,14
Mustelus henlei,Brown smooth-hound,27,26,28
Mustelus lenticulatus,Spotted estuary smooth-hound,15,13,16
Mustelus mustelus,Smooth-hound,26,23,28
Mustelus schmitti,Narrownose smooth-hound,13,12,16
Mya arenaria,Sand gaper,10,7,13
Mycteroperca bonaci,Black grouper,27,26,27
Mycteroperca microlepis,Gag,26,24,27
Mycteroperca phenax,Scamp,23,20,26
Mycteroperca venenosa,Yellowfin grouper,27,26,27
Mycteroperca xenarcha,Broomtail grouper,28,27,28
Myliobatis aquila,Common eagle ray,26,23,28
Mytilus chilensis,Chilean mussel,12,9,14
Mytilus coruscus,Korean mussel,16,15,18
Mytilus edulis,Blue mussel,8,4,11
Mytilus galloprovincialis,Mediterranean mussel,17,14,19
Mytilus planulatus,Australian mussel,26,23,28
Mytilus platensis,River Plata mussel,14,13,14
Myxine glutinosa,Hagfish,11,6,17
Naso unicornis,Bluespine unicornfish,28,27,28
Necora puber,Velvet swimcrab,10,9,12
Nemadactylus bergi,White morwong,12,10,14
Nemadactylus macropterus,Tarakihi,27,25,28
Nematalosa nasus,Blochs gizzard shad,25,22,28
Nematopalaemon schmitti,Whitebelly prawn,27,27,27
Nemipterus japonicus,Japanese threadfin bream,28,27,29
Nemipterus randalli,Randalls threadfin bream,28,27,28
Nemipterus virgatus,Golden threadfin bream,27,26,28
Neocyttus rhomboidalis,Spiky oreo,17,15,19
Neopagetopsis ionah,Bible icefish,-2,-2,-1
Nephrops norvegicus,Norway lobster,17,14,20
Nezumia aequalis,Common Atlantic grenadier,22,18,25
Nibea mitsukurii,Nibe croaker,21,20,22
Normanichthys crockeri,Normans camote,17,16,19
Notorynchus cepedianus,Broadnose sevengill shark,18,16,22
Notothenia coriiceps,Yellowbelly rockcod,0,-1,2
Notothenia rossii,Marbled rockcod,4,1,7
Nototodarus sloanii,Wellington flying squid,15,13,17
Oblada melanura,Saddled seabream,24,21,26
Octopus vulgaris,Common octopus,26,23,28
Ocyurus chrysurus,Yellowtail snapper,26,25,28
Odontesthes regia,Silverside,18,16,19
Ommastrephes bartramii,Neon flying squid,25,21,27
Oncorhynchus gorbuscha,Pink salmon,5,3,9
Oncorhynchus keta,Chum salmon,5,3,8
Oncorhynchus kisutch,Coho salmon,4,3,6
Oncorhynchus masou,Cherry salmon,8,5,13
Oncorhynchus mykiss,Rainbow trout,9,6,12
Oncorhynchus nerka,Sockeye salmon,4,3,6
Oncorhynchus tshawytscha,Chinook salmon,6,4,8
Ophiodon elongatus,Lingcod,11,7,16
Opisthonema libertate,Pacific thread herring,27,25,28
Opisthonema oglinum,Atlantic thread herring,26,25,28
Orcynopsis unicolor,Plain bonito,18,17,20
Orthopristis chrysoptera,Pigfish,24,22,27
Osmerus eperlanus,European smelt,10,9,11
Osmerus mordax,Atlantic rainbow smelt,3,1,5
Ostrea chilensis,Chilean flat oyster,25,21,27
Ostrea edulis,European flat oyster,15,12,18
Ostrea lurida,Olympia flat oyster,14,11,18
Ostrea lutaria,New Zealand dredge oyster,14,12,16
Otolithes ruber,Tiger-toothed croaker,28,27,28
Oxynotus centrina,Angular roughshark,26,24,28
Oxynotus paradoxus,Sailfin roughshark,18,16,20
Pagellus acarne,Axillary seabream,19,18,20
Pagellus bellottii bellottii,Red pandora,25,22,26
Pagellus bogaraveo,Blackspot seabream,18,16,20
Pagellus erythrinus,Common pandora,18,16,20
Pagrus auriga,Redbanded seabream,23,20,26
Pagrus caeruleostictus,Bluespotted seabream,23,20,26
Pagrus pagrus,Common seabream,25,21,27
Palaemon longirostris,Delta prawn,11,10,13
Palaemon serratus,Common prawn,17,14,19
Palinurus delagoae,Natal spiny lobster,25,24,26
Palinurus elephas,Common spiny lobster,13,10,17
Palinurus gichristi,Southern spiny lobster,18,16,21
Palinurus mauritanicus,Pink spiny lobster,18,17,19
Pampus argenteus,Silver pomfret,26,23,28
Pandalopsis japonica,Sidestripe shrimp,8,5,13
Pandalus borealis,Northern prawn,5,3,9
Pandalus goniurus,Humpy shrimp,4,3,6
Pandalus hypsinotus,Humpback shrimp,7,4,10
Pandalus kessleri,Grass shrimp,5,4,7
Pandalus montagui,Aesop shrimp,6,2,9
Panopea abrupta,Pacific geoduck,8,6,10
Panulirus argus,Caribbean spiny lobster,27,26,27
Panulirus cygnus,Australian spiny lobster,21,20,22
Panulirus gracilis,Blue spiny lobster,27,25,28
Panulirus homarus,Scalloped spiny lobster,27,27,28
Panulirus longipes,Longlegged spiny lobster,27,26,29
Paphies australis,Pipi wedge clam,20,15,24
Paracentrotus lividus,Stony sea urchin,17,14,19
Paralabrax humeralis,Peruvian rock seabass,26,24,28
Paralichthys californicus,California flounder,17,14,20
Paralichthys dentatus,Summer flounder,15,12,20
Paralichthys olivaceus,Bastard halibut,20,17,23
Paralithodes brevipes,Spiny king crab,5,4,6
Paralithodes camtschaticus,Red king crab,6,3,9
Paralithodes platypus,Blue King Crab,4,3,4
Paralomis aculeata,Red stone crab,1,-1,3
Paralomis granulosa,Softshell red crab,10,8,11
Paralomis spinosissima,Antarctic stone crab,1,-1,3
Paralonchurus peruanus,Peruvian banded croaker,21,20,22
Parapenaeopsis atlantica,Guinea shrimp,26,25,27
Parapenaeus longirostris,Deepwater rose shrimp,25,23,27
Parapercis colias,Blue cod,13,12,15
Parapristipoma octolineatum,African striped grunt,27,26,28
Parastromateus niger,Black pomfret,28,27,28
Paratrachichthys trailli,Sandpaper fish,17,16,20
Paristiopterus labiosus,Giant boarfish,23,18,27
Parona signata,Parona leatherjacket,24,22,26
Parophrys vetula,English sole,10,8,12
Patagonotothen brevicauda,Patagonian rockcod,10,7,12
Patagonotothen ramsayi,Ramsay's icefish,10,8,11
Patinopecten caurinus,Weathervane scallop,8,6,11
Pecten jacobaeus,Great Mediterranean scallop,20,19,20
Pecten maximus,Great Atlantic scallop,12,11,15
Pecten novaezelandiae,New Zealand scallop,16,15,17
Pecten yessoensis,Yesso scallop,18,15,21
Pegusa lascaris,Sand sole,26,23,28
Pelates quadrilineatus,Fourlined terapon,27,25,29
Pellona ditchela,Indian pellona,28,27,28
Penaeus aztecus,Northern brown shrimp,20,16,24
Penaeus brasiliensis,Redspotted shrimp,27,26,27
Penaeus brevirostris,Crystal shrimp,26,23,28
Penaeus californiensis,Yellowleg shrimp,25,22,27
Penaeus chinensis,Fleshy prawn,21,20,24
Penaeus duorarum,Northern pink shrimp,25,23,26
Penaeus indicus,Indian white prawn,27,27,28
Penaeus japonicus,Kuruma prawn,26,23,28
Penaeus kerathurus,Caramote prawn,23,20,26
Penaeus latisulcatus,Western king prawn,26,24,28
Penaeus merguiensis,Banana prawn,28,27,28
Penaeus monodon,Giant tiger prawn,26,23,28
Penaeus notialis,Southern pink shrimp,27,27,27
Penaeus occidentalis,Western white shrimp,26,24,28
Penaeus paulensis,Sao Paulo shrimp,15,13,18
Penaeus penicillatus,Redtail prawn,28,27,28
Penaeus semisulcatus,Green tiger prawn,27,26,29
Penaeus setiferus,Northern white shrimp,24,23,25
Penaeus stylirostris,Blue shrimp,25,22,28
Penaeus vannamei,Whiteleg shrimp,27,26,28
Pennahia anea,Greyfin croaker,28,28,28
Pennahia argentata,White croaker,24,23,26
Pentaceros decacanthus,Bigspined boarfish,20,18,23
Pentanemus quinquarius,Royal threadfin,26,24,27
Peprilus simillimus,Pacific pompano,16,13,20
Peprilus triacanthus,American butterfish,19,11,23
Percophis brasiliensis,Brazilian flathead,18,14,22
Perna perna,South American rock mussel,26,24,28
Perna viridis,Brown mussel,26,24,28
Petromyzon marinus,Sea lamprey,11,6,16
Petrus rupestris,Red steenbras,20,18,21
Phycis blennoides,Greater forkbeard,16,12,19
Phycis phycis,Forkbeard,20,19,20
Pitar rostratus,Rostrate pitar,21,20,23
Placopecten magellanicus,American sea scallop,8,5,10
Platichthys flesus,Flounder,12,10,15
Platichthys stellatus,Starry flounder,4,2,8
Platycephalus indicus,Bartail flathead,27,27,28
Plectorhinchus gaterinus,Blackspotted rubberlips,27,26,28
Plectorhinchus macrolepis,Biglip grunt,27,26,27
Plectorhinchus mediterraneus,Rubberlip grunt,23,20,26
Plectorhinchus pictus,Trout sweetlips,28,27,28
Plectorhinchus schotaf,Minstrel sweetlip,27,26,29
Plectropomus areolatus,Squaretail coralgrouper,28,27,28
Plectropomus pessuliferus,Roving coralgrouper,28,27,29
Pleoticus muelleri,Argentine red shrimp,14,12,16
Pleoticus robustus,Royal red shrimp,25,22,27
Plesiopenaeus edwardsianus,Scarlet shrimp,25,23,27
Pleuragramma antarcticum,Antarctic silverfish,-2,-2,-2
Pleurogrammus azonus,Okhostk atka mackerel,10,6,15
Pleuroncodes monodon,Squat Lobster,17,15,19
Pleuroncodes planipes,Pelagic red crab,25,23,27
Pleuronectes platessus,European plaice,12,9,15
Pleuronectes quadrituberculatus,Alaska plaice,4,2,5
Pleuronichthys decurrens,Curlfin sole,14,10,18
Pogonias cromis,Black drum,24,22,27
Pogonophryne permitini,Pogonophryne permitini,-2,-2,-2
Pollachius pollachius,Pollack,10,9,12
Pollachius virens,Saithe,8,4,11
Pollicipes pollicipes,Barnacle,19,18,20
Polydactylus quadrifilis,Giant African threadfin,27,26,27
Polyprion americanus,Wreckfish,18,15,21
Polyprion oxygeneios,Hapuka,17,15,18
Pomacanthus maculosus,Yellowbar angelfish,27,26,28
Pomadasys argenteus,Silver grunt,27,26,29
Pomadasys incisus,Bastard grunt,27,25,28
Pomadasys jubelini,Sompat grunt,26,25,27
Pomadasys kaakan,Javelin grunter,27,26,29
Pomadasys stridens,Striped piggy,27,26,28
Pomatomus saltator,Bluefish,27,25,28
Pontinus kuhlii,Offshore rockfish,27,25,28
Portunus pelagicus,Blue swimming crab,27,26,29
Portunus trituberculatus,Gazami crab,26,24,28
Priacanthus macracanthus,Red bigeye,28,27,28
Prionace glauca,Blue shark,23,18,26
Prolatilus jugularis,Tilefish,16,14,18
Promethichthys prometheus,Roudi escolar,26,24,28
Protothaca staminea,Pacific littleneck clam,8,6,11
Protothaca thaca,Taca clam,19,15,23
Psenopsis anomala,Melon seed,22,21,24
Psettichthys melanostictus,West American sand sole,10,7,11
Psettodes belcheri,Spottail spiny turbot,27,25,27
Psettodes erumei,Indian spiny turbot,28,27,29
Pseudocaranx dentex,White trevally,20,18,23
Pseudochaenichthys georgianus,South Georgia icefish,-1,-1,0
Pseudocyttus maculatus,Smooth oreo,12,6,17
Pseudopentaceros richardsoni,Pelagic armorhead,17,16,18
Pseudopercis semifasciata,Pigletfish,14,12,16
Pseudophycis bachus,Red codling,14,13,15
Pseudopleuronectes americanus,Winter flounder,10,8,12
Pseudopleuronectes herzensteini,Littlemouth flounder,12,9,15
Pseudotolithus elongatus,Bobo croaker,26,26,27
Pseudotolithus senegalensis,Cassava croaker,26,25,27
Pseudotolithus senegallus,Law croaker,27,25,27
Pseudupeneus prayensis,West African goatfish,27,26,28
Pterogymnus laniarius,Panga seabream,20,18,24
Pteroscion peli,Boe drum,25,24,27
Pterothrissus belloci,Longfin bonefish,25,24,27
Pterygotrigla polyommata,Latchet,17,16,18
Pyura chilensis,Red sea squirt,12,11,13
Pyura stolonifera,Red bait,17,15,18
Rachycentron canadum,Cobia,27,25,28
Raja asterias,Starry ray,15,12,17
Raja brachyura,Blonde ray,15,9,20
Raja clavata,Thornback ray,17,14,20
Raja microocellata,Small-eyed ray,14,12,16
Raja montagui,Spotted ray,14,9,20
Raja undulata,Undulate ray,18,12,23
Rastrelliger brachysoma,Short mackerel,28,28,28
Rastrelliger kanagurta,Indian mackerel,28,27,28
Regalecus glesne,King of herrings,22,18,25
Reinhardtius evermanni,Kamchatka flounder,6,4,10
Reinhardtius hippoglossoides,Greenland halibut,6,4,9
Rexea solandri,Silver gemfish,17,15,18
Rhabdosargus globiceps,White stumpnose,21,19,25
Rhabdosargus haffara,Haffara seabream,27,25,28
Rhinobatos percellens,Chola guitarfish,26,25,28
Rhinobatos planiceps,Pacific guitarfish,24,22,26
Rhinochimaera atlantica,Spearnose chimaera,25,23,28
Rhomboplites aurorubens,Vermilion snapper,27,26,27
Rhynchobatus djiddensis,Giant guitarfish,27,26,29
Ruditapes decussatus,Grooved carpet shell,17,13,22
Ruditapes philippinarum,Japanese carpet shell,18,16,20
Ruvettus pretiosus,Oilfish,25,22,28
Salilota australis,Tadpole codling,9,8,11
Salmo salar,Atlantic salmon,9,6,12
Salmo trutta,Sea trout,9,9,10
Salvelinus alpinus,Charr,1,0,3
Sarda chiliensis,Eastern Pacific bonito,19,19,19
Sarda orientalis,Striped bonito,28,27,28
Sarda sarda,Atlantic bonito,23,18,26
Sardina pilchardus,European pilchard,16,13,19
Sardinella aurita,Round sardinella,25,22,27
Sardinella brasiliensis,Brazilian sardinella,26,25,27
Sardinella gibbosa,Goldstripe sardinella,28,28,28
Sardinella lemuru,Bali sardinella,28,27,29
Sardinella longiceps,Indian oil sardine,28,27,28
Sardinella maderensis,Madeiran sardinella,24,21,26
Sardinella zunasi,Japanese sardinella,22,19,24
Sardinops sagax,South American pilchard,22,18,25
Sargocentron spiniferum,Sabre squirrelfish,27,26,29
Sarpa salpa,Salema,25,23,28
Saurida tumbil,Greater lizardfish,28,27,28
Saurida undosquamis,Brushtooth lizardfish,27,24,28
Saxidomus giganteus,Butter clam,7,5,9
Scapharca subcrenata,Half-crenated ark,20,18,22
Scarus ghobban,Blue-barred parrotfish,27,26,29
Scarus persicus,Gulf parrotfish,26,26,27
Schedophilus ovalis,Imperial blackfish,25,22,27
Schedophilus pemarco,Pemarco blackfish,26,25,27
Sciaena umbra,Brown meagre,19,14,23
Sciaenops ocellatus,Red drum,26,24,28
Scolopsis taeniatus,Black-streaked monocle bream,27,26,27
Scomber australasicus,Blue mackerel,24,20,27
Scomber japonicus,Chub mackerel,23,18,27
Scomber scombrus,Atlantic mackerel,12,8,16
Scomberesox saurus,Atlantic saury,20,14,24
Scomberoides commersonnianus,Talang queenfish,28,27,28
Scomberoides lysan,Doublespotted queenfish,28,27,28
Scomberoides tol,Needlescaled queenfish,28,27,28
Scomberomorus brasiliensis,Serra Spanish mackerel,27,27,27
Scomberomorus cavalla,King mackerel,25,22,27
Scomberomorus commerson,Narrow-barred Spanish mackerel,28,27,28
Scomberomorus guttatus,Indo-Pacific king mackerel,28,27,29
Scomberomorus lineolatus,Streaked seerfish,28,28,28
Scomberomorus maculatus,Spanish mackerel,24,22,26
Scomberomorus niphonius,Japanese Spanish mackerel,18,15,20
Scomberomorus regalis,Cero,25,23,27
Scomberomorus sierra,Pacific sierra,25,22,27
Scomberomorus tritor,West African Spanish mackerel,24,22,26
Scophthalmus aquosus,Windowpane,11,9,13
Scophthalmus maximus,Turbot,11,9,14
Scophthalmus rhombus,Brill,11,7,14
Scorpaena porcus,Black scorpionfish,18,16,20
Scorpaena scrofa,Largescaled scorpionfish,25,23,28
Scorpaenichthys marmoratus,Cabezon,13,8,18
Scyliorhinus canicula,Smallspotted catshark,17,10,22
Scyliorhinus stellaris,Nursehound,16,10,22
Scylla serrata,Indo-Pacific swamp crab,26,24,28
Scyllarides latus,Mediterranean slipper lobster,19,19,20
Scymnodon ringens,Knifetooth dogfish,18,16,20
Sebastes alutus,Pacific ocean perch,6,5,10
Sebastes entomelas,Widow rockfish,9,6,11
Sebastes flavidus,Yellowtail rockfish,11,7,16
Sebastes goodei,Chilipepper,16,11,20
Sebastes marinus,Ocean perch,5,3,6
Sebastes melanops,Black rockfish,11,7,15
Sebastes mentella,Deepwater redfish,4,2,7
Sebastes paucispinis,Bocaccio,8,5,11
Sebastes pinniger,Canary rockfish,8,5,11
Sebastes viviparus,Norway redfish,9,9,9
Sebastolobus alascanus,Shortspine thornyhead,6,4,10
Selar crumenophthalmus,Bigeye scad,27,26,29
Selaroides leptolepis,Yellowstripe scad,28,27,28
Selene dorsalis,African moonfish,24,22,26
Selene setapinnis,Atlantic moonfish,26,24,28
Semele solida,Chilean semele,12,11,14
Semicossyphus pulcher,California sheephead,22,19,25
Sepia officinalis,Common cuttlefish,19,15,23
Seriola dumerili,Greater amberjack,27,26,28
Seriola lalandi,Yellowtail amberjack,26,24,28
Seriolella brama,Common warehou,15,13,16
Seriolella caerulea,White warehou,13,10,16
Seriolella porosa,Choicy ruff,17,16,19
Seriolella punctata,Silver warehou,15,13,16
Seriolina nigrofasciata,Blackbanded trevally,27,26,29
Serranus cabrilla,Comber,23,20,27
Sicyonia brevirostris,Rock shrimp,25,23,27
Sicyonia ingentis,Ridgeback shrimp,19,17,21
Siliqua patula,Pacific razor clam,7,5,9
Sillago sihama,Silver sillago,27,26,28
Solea senegalensis,Senegalese sole,21,16,25
Solea solea,Common sole,16,12,19
Solen vagina,European razor clam,10,7,15
Solenocera agassizii,Kolibri shrimp,26,24,27
Somniosus microcephalus,Greenland shark,7,3,10
Somniosus rostratus,Little sleeper shark,26,24,28
Sparus auratus,Gilthead seabream,26,22,28
Spectrunculus grandis,Pudgy cuskeel,22,18,26
Sphoeroides maculatus,Northern puffer,12,8,18
Sphyraena barracuda,Great barracuda,27,26,28
Sphyraena jello,Pickhandle barracuda,27,25,29
Sphyraena obtusata,Obtuse barracuda,28,27,28
Sphyrna lewini,Scalloped hammerhead,27,25,28
Sphyrna zygaena,Smooth hammerhead,25,22,28
Spicara maena,Blotched picarel,16,12,19
Spisula ovalis,Venus clam,11,10,12
Spisula polynyma,Stimpsons surf clam,4,2,6
Spisula solida,Surf clam,11,9,12
Spisula solidissima,Atlantic surf clam,14,9,20
Spondyliosoma cantharus,Black seabream,19,14,23
Spratelloides gracilis,Silverstriped round herring,28,28,28
Sprattus fuegensis,Falkland sprat,9,8,11
Sprattus sprattus,European sprat,12,9,16
Sprattus sprattus balticus,Baltic sprat,9,8,10
Squalus acanthias,Piked dogfish,16,10,19
Squatina argentina,Argentine angelshark,13,11,15
Squatina squatina,Angelshark,15,12,18
Squilla mantis,Spottail mantis squillid,22,19,25
Stenotomus chrysops,Scup,20,16,23
Stephanolepis cirrhifer,Thread-sail filefish,22,21,23
Stereolepis gigas,Giant sea-bass,22,18,25
Strangomera bentincki,Araucanian herring,13,13,14
Stromateus fiatola,Blue butterfish,25,23,28
Symphodus melops,Corkwing wrasse,12,7,16
Synagrops japonicus,Japanese splitfin,27,25,28
Takifugu vermicularis,Pear puffer,14,13,16
Tapes pullastra,Pullet carpet shell,13,10,16
Tapes rhomboides,Banded carpet shell,13,10,17
Tautoga onitis,Tautog,14,11,17
Tautogolabrus adspersus,Cunner,7,6,9
Tawera gayi,Gay's little venus,12,11,12
Tenualosa ilisha,Hilsa shad,27,26,28
Tenualosa toli,Toli shad,28,28,28
Tetrapturus albidus,Atlantic white marlin,25,23,27
Tetrapturus angustirostris,Shortbill spearfish,27,25,28
Tetrapturus audax,Striped marlin,27,24,28
Tetrapturus pfluegeri,Longbill spearfish,27,26,27
Thalassoma pavo,Ornate wrasse,22,19,25
Thaleichthys pacificus,Eulachon,8,5,10
Thenus orientalis,Flathead lobster,28,27,28
Theragra chalcogramma,Alaska pollack,6,4,8
Thunnus alalunga,Albacore,23,20,26
Thunnus albacares,Yellowfin tuna,26,24,28
Thunnus atlanticus,Blackfin tuna,27,26,28
Thunnus maccoyii,Southern bluefin tuna,16,12,19
Thunnus obesus,Bigeye tuna,26,24,27
Thunnus orientalis,Pacific bluefin tuna,26,22,28
Thunnus thynnus,Northern bluefin tuna,24,19,27
Thunnus tonggol,Longtail tuna,28,27,28
Thyrsites atun,Snoek,14,11,17
Thyrsitops lepidopoides,White snake mackerel,17,15,20
Tivela mactroides,Trigonal tivela,27,26,28
Todarodes pacificus,Japanese flying squid,13,8,19
Todarodes sagittatus,European flying squid,20,15,24
Tonna galea,Helmet ton,26,24,28
Totoaba macdonaldi,Totoaba,20,19,21
Trachinotus blochii,Snubnose pompano,28,28,28
Trachinotus carolinus,Florida pompano,25,23,27
Trachinotus mookalee,Indian pompano,28,28,28
Trachinotus ovatus,Derbio,19,13,23
Trachinus draco,Greater weever,10,6,15
Trachurus capensis,Cape horse mackerel,25,23,27
Trachurus declivis,Greenback horse mackerel,20,15,24
Trachurus japonicus,Japanese jack mackerel,19,15,22
Trachurus lathami,Rough scad,27,26,28
Trachurus mediterraneus,Mediterranean horse mackerel,19,18,20
Trachurus murphyi,Inca scad,15,12,17
Trachurus picturatus,Blue jack mackerel,21,18,24
Trachurus symmetricus,Pacific jack mackerel,13,9,16
Trachurus trachurus,Atlantic horse mackerel,18,14,22
Trachurus trecae,Cunene horse mackerel,25,24,27
Trachypenaeus curvirostris,Southern rough shrimp,27,26,28
Trachyrincus scabrous,Roughsnout grenadier,21,18,24
Trematomus eulepidotus,Blunt scalyhead,-2,-2,-1
Trematomus hansoni,Striped rockcod,1,1,1
Trichiurus lepturus,Largehead hairtail,25,21,28
Trigla lyra,Piper gurnard,24,20,27
Tripterophycis gilchristi,Grenadier cod,22,18,26
Trisopterus esmarkii,Norway pout,9,8,11
Trisopterus luscus,Pouting,12,10,14
Trisopterus minutus,Poor cod,15,12,18
Turbo cornutus,Horned turban,19,18,21
Tylosurus crocodilus,Hound needlefish,28,27,28
Umbrina canariensis,Canary drum,26,24,28
Umbrina canosai,Argentine croaker,19,17,21
Umbrina cirrosa,Shi drum,15,13,18
Upogebia pugettensis,Blue mud shrimp,10,9,11
Urophycis brasiliensis,Brazilian codling,13,10,16
Urophycis chuss,Red hake,10,8,12
Urophycis tenuis,White hake,7,5,9
Valamugil seheli,Bluespot mullet,28,27,28
Variola louti,Yellow-edged lyretail,27,26,29
Venus gallina,Striped venus,14,12,17
Venus verrucosa,Warty venus,19,16,23
Xiphias gladius,Swordfish,26,23,27
Xiphopenaeus kroyeri,Atlantic seabob,26,25,27
Xiphopenaeus riveti,Pacific seabob,27,25,28
Zanclorhynchus spinifer,Spiny horsefish,6,4,9
Zenopsis conchifer,Silvery John dory,25,22,27
Zenopsis nebulosus,Mirror dory,27,24,28
Zeus faber,John dory,23,19,26
Zidona dufresnei,Angulate volute,17,14,19
Zoarces americanus,Ocean pout,7,6,8
Zoarces viviparous,Viviparous blenny,9,8,10
Zygochlamys delicatula,Delicate scallop,13,12,15
Zygochlamys patagonica,Patagonean scallop,9,8,11
